"SEQUENCIAL_CANDIDATO";"SIGLA_UF";"TOTAL_VOTOS"
50000000697;"BA";97
50000000698;"BA";0
50000000700;"BA";0
50000000704;"BA";1930
50000000843;"BA";933
50000000846;"BA";322
50000000847;"BA";2847
50000000848;"BA";444
50000000854;"BA";84
50000000855;"BA";322
50000000856;"BA";66
50000000858;"BA";392
50000000859;"BA";514
50000000861;"BA";1085
50000000863;"BA";48
50000000864;"BA";7449
50000000868;"BA";387
50000000869;"BA";63
50000000870;"BA";741
50000000872;"BA";222
50000000873;"BA";5095
50000000876;"BA";200
50000000887;"BA";3141
50000000889;"BA";0
50000000893;"BA";183
50000000894;"BA";1734
50000000895;"BA";391
50000000896;"BA";254
50000000897;"BA";1320
50000000898;"BA";176
50000000900;"BA";1256
50000000902;"BA";11624
50000000905;"BA";18655
50000000906;"BA";5917
50000000907;"BA";975
50000000908;"BA";18063
50000000909;"BA";0
50000000914;"BA";5883
50000000915;"BA";19
50000000916;"BA";2341
50000000917;"BA";600
50000000920;"BA";1153
50000000921;"BA";392
50000000971;"BA";132
50000000973;"BA";687
50000000976;"BA";518
50000000979;"BA";5008
50000000997;"BA";244
50000001010;"BA";136
50000001014;"BA";0
50000001020;"BA";2512
50000001025;"BA";0
50000001027;"BA";0
50000001028;"BA";0
50000001031;"BA";0
50000001034;"BA";144
50000001063;"BA";1225
50000001064;"BA";151
50000001067;"BA";159
50000001103;"BA";33
50000001111;"BA";609
50000001115;"BA";767
50000001116;"BA";238
50000001118;"BA";228
50000001119;"BA";169
50000001145;"BA";75
50000001148;"BA";2056
50000001150;"BA";0
50000001151;"BA";0
50000001153;"BA";0
50000001155;"BA";0
50000001157;"BA";583
50000001158;"BA";420
50000001167;"BA";10
50000001169;"BA";174
50000001170;"BA";68
50000001178;"BA";1768
50000001179;"BA";12677
60000000064;"CE";551
60000000065;"CE";355
60000000066;"CE";2009
60000000067;"CE";2526
60000000068;"CE";3973
60000000069;"CE";1962
60000000071;"CE";6540
60000000072;"CE";180
60000000073;"CE";758
60000000074;"CE";186
60000000075;"CE";891
60000000079;"CE";1365
60000000082;"CE";273
60000000083;"CE";2390
60000000084;"CE";1588
60000000087;"CE";469
60000000088;"CE";446
60000000089;"CE";6729
60000000090;"CE";4771
60000000096;"CE";618
60000000097;"CE";1574
60000000243;"CE";2482
60000000244;"CE";739
60000000245;"CE";107
